"epoch","UNet2d-all-10days_final - _step","UNet2d-all-10days_final - _step__MIN","UNet2d-all-10days_final - _step__MAX","UNet2d-all-10days_final - Train Loss","UNet2d-all-10days_final - Train Loss__MIN","UNet2d-all-10days_final - Train Loss__MAX","UNet2d-all-10days_final - Validation Loss","UNet2d-all-10days_final - Validation Loss__MIN","UNet2d-all-10days_final - Validation Loss__MAX"
"1","0.5","0","1","0.6587876756236238","0.6587876756236238","0.6587876756236238","0.5642986794312795","0.5642986794312795","0.5642986794312795"
"2","2.5","2","3","0.544644426249858","0.544644426249858","0.544644426249858","0.5206264058748881","0.5206264058748881","0.5206264058748881"
"3","4.5","4","5","0.5245518834335999","0.5245518834335999","0.5245518834335999","0.5169864230685763","0.5169864230685763","0.5169864230685763"
"4","6.5","6","7","0.5184050804039217","0.5184050804039217","0.5184050804039217","0.5174714161290063","0.5174714161290063","0.5174714161290063"
"5","8.5","8","9","0.4593302952418537","0.4593302952418537","0.4593302952418537","0.3323040140999688","0.3323040140999688","0.3323040140999688"
"6","10.5","10","11","0.3318433131811754","0.3318433131811754","0.3318433131811754","0.31369029647774166","0.31369029647774166","0.31369029647774166"
"7","12.5","12","13","0.31390060924883906","0.31390060924883906","0.31390060924883906","0.2957781147625711","0.2957781147625711","0.2957781147625711"
"8","14.5","14","15","0.30335148325506245","0.30335148325506245","0.30335148325506245","0.31342635303735733","0.31342635303735733","0.31342635303735733"
"9","16.5","16","17","0.3011817086792592","0.3011817086792592","0.3011817086792592","0.2924607785211669","0.2924607785211669","0.2924607785211669"
"10","18.5","18","19","0.29477900903929705","0.29477900903929705","0.29477900903929705","0.29999944153759217","0.29999944153759217","0.29999944153759217"
"11","20.5","20","21","0.2925025639856387","0.2925025639856387","0.2925025639856387","0.29397788312700057","0.29397788312700057","0.29397788312700057"
"12","22.5","22","23","0.28775117710326453","0.28775117710326453","0.28775117710326453","0.29186214837763047","0.29186214837763047","0.29186214837763047"
"13","24.5","24","25","0.2863692898982726","0.2863692898982726","0.2863692898982726","0.293940019276407","0.293940019276407","0.293940019276407"
"14","26.5","26","27","0.27995562131674784","0.27995562131674784","0.27995562131674784","0.2912893328401778","0.2912893328401778","0.2912893328401778"
"15","28.5","28","29","0.2751652020141014","0.2751652020141014","0.2751652020141014","0.2835472863581445","0.2835472863581445","0.2835472863581445"
"16","30.5","30","31","0.27657264667861864","0.27657264667861864","0.27657264667861864","0.2909196416536967","0.2909196416536967","0.2909196416536967"
"17","32.5","32","33","0.2710869552204444","0.2710869552204444","0.2710869552204444","0.28791126277711654","0.28791126277711654","0.28791126277711654"
"18","34.5","34","35","0.27008871649796107","0.27008871649796107","0.27008871649796107","0.28293803003099227","0.28293803003099227","0.28293803003099227"
"19","36.5","36","37","0.2659454586558372","0.2659454586558372","0.2659454586558372","0.27386892918083405","0.27386892918083405","0.27386892918083405"
"20","38.5","38","39","0.2659739418974463","0.2659739418974463","0.2659739418974463","0.29257723689079285","0.29257723689079285","0.29257723689079285"
"21","40.5","40","41","0.26253574618003656","0.26253574618003656","0.26253574618003656","0.281327979432212","0.281327979432212","0.281327979432212"
"22","42.5","42","43","0.2613430228435768","0.2613430228435768","0.2613430228435768","0.2805800827013122","0.2805800827013122","0.2805800827013122"
"23","44.5","44","45","0.25732375737631097","0.25732375737631097","0.25732375737631097","0.2811665079659886","0.2811665079659886","0.2811665079659886"
"24","46.5","46","47","0.2470376729590338","0.2470376729590338","0.2470376729590338","0.2720736612876256","0.2720736612876256","0.2720736612876256"
"25","48.5","48","49","0.24298995620799516","0.24298995620799516","0.24298995620799516","0.2683432830704583","0.2683432830704583","0.2683432830704583"
"26","50.5","50","51","0.24124997048258032","0.24124997048258032","0.24124997048258032","0.27012084755632615","0.27012084755632615","0.27012084755632615"
"27","52.5","52","53","0.23914760388668227","0.23914760388668227","0.23914760388668227","0.2726317611005571","0.2726317611005571","0.2726317611005571"
"28","54.5","54","55","0.23907710564961224","0.23907710564961224","0.23907710564961224","0.27072645641035503","0.27072645641035503","0.27072645641035503"
"29","56.5","56","57","0.2377182848798404","0.2377182848798404","0.2377182848798404","0.2683892622590065","0.2683892622590065","0.2683892622590065"
"30","58.5","58","59","0.2367095542403887","0.2367095542403887","0.2367095542403887","0.27049152221944595","0.27049152221944595","0.27049152221944595"
"31","60.5","60","61","0.23556719973402204","0.23556719973402204","0.23556719973402204","0.2696177197827233","0.2696177197827233","0.2696177197827233"
"32","62.5","62","63","0.23699500135280802","0.23699500135280802","0.23699500135280802","0.2703858001364602","0.2703858001364602","0.2703858001364602"
"33","64.5","64","65","0.2354309820341614","0.2354309820341614","0.2354309820341614","0.2705727260973718","0.2705727260973718","0.2705727260973718"
"34","66.5","66","67","0.23706941615860416","0.23706941615860416","0.23706941615860416","0.2723170932796266","0.2723170932796266","0.2723170932796266"
"35","68.5","68","69","0.2351547396220501","0.2351547396220501","0.2351547396220501","0.2699814380870925","0.2699814380870925","0.2699814380870925"
