"epoch","UNet3d-all-10-days_final - _step","UNet3d-all-10-days_final - _step__MIN","UNet3d-all-10-days_final - _step__MAX","UNet3d-all-10-days_final - Train Loss","UNet3d-all-10-days_final - Train Loss__MIN","UNet3d-all-10-days_final - Train Loss__MAX","UNet3d-all-10-days_final - Validation Loss","UNet3d-all-10-days_final - Validation Loss__MIN","UNet3d-all-10-days_final - Validation Loss__MAX"
"1","0.5","0","1","0.656332172535278","0.656332172535278","0.656332172535278","0.5414055605088511","0.5414055605088511","0.5414055605088511"
"2","2.5","2","3","0.5276459953287146","0.5276459953287146","0.5276459953287146","0.514600275024291","0.514600275024291","0.514600275024291"
"3","4.5","4","5","0.5167867121024009","0.5167867121024009","0.5167867121024009","0.5135353226815501","0.5135353226815501","0.5135353226815501"
"4","6.5","6","7","0.4875557608220167","0.4875557608220167","0.4875557608220167","0.3585515099187051","0.3585515099187051","0.3585515099187051"
"5","8.5","8","9","0.31945150861373317","0.31945150861373317","0.31945150861373317","0.3256421685218811","0.3256421685218811","0.3256421685218811"
"6","10.5","10","11","0.2999942920037678","0.2999942920037678","0.2999942920037678","0.29655334641856534","0.29655334641856534","0.29655334641856534"
"7","12.5","12","13","0.2946786705281708","0.2946786705281708","0.2946786705281708","0.2979330954051787","0.2979330954051787","0.2979330954051787"
"8","14.5","14","15","0.289992624150091","0.289992624150091","0.289992624150091","0.2938091841436202","0.2938091841436202","0.2938091841436202"
"9","16.5","16","17","0.28441791285525314","0.28441791285525314","0.28441791285525314","0.29555502245503085","0.29555502245503085","0.29555502245503085"
"10","18.5","18","19","0.2804976469758666","0.2804976469758666","0.2804976469758666","0.2854937281339399","0.2854937281339399","0.2854937281339399"
"11","20.5","20","21","0.2758889254523721","0.2758889254523721","0.2758889254523721","0.28213130562536176","0.28213130562536176","0.28213130562536176"
"12","22.5","22","23","0.2713174339615818","0.2713174339615818","0.2713174339615818","0.27684421789261604","0.27684421789261604","0.27684421789261604"
